Año,Nro del Mes,Mes,Nombre Dia,Rango del Dia,Localidad,Sexo,Delito,Modalidad,Arma Empleada,Numero Hechos
2020,01,ENE,LUNES,MADRUGADA,09 - FONTIBÓN,FEMENINO,LESIONES PERSONALES,ACCIDENTAL,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,13 - TEUSAQUILLO,FEMENINO,LESIONES PERSONALES,RIÑAS,ARMA BLANCA / CORTOPUNZANTE,1
2020,01,ENE,LUNES,MADRUGADA,14 - LOS MÁRTIRES,FEMENINO,LESIONES PERSONALES,RIÑAS,ARMA BLANCA / CORTOPUNZANTE,1
2020,01,ENE,LUNES,MADRUGADA,16 - PUENTE ARANDA,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,17 - CANDELARIA,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,2
2020,01,ENE,LUNES,MADRUGADA,19 - CIUDAD BOLÍVAR,MASCULINO,LESIONES PERSONALES,VIOLENCIA INTRAFAMILIAR,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,19 - CIUDAD BOLÍVAR,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,10 - ENGATIVÁ,FEMENINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,11 - SUBA,FEMENINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,14 - LOS MÁRTIRES,FEMENINO,LESIONES PERSONALES,RIÑA ENTRE COMPAÑEROS PERMANENTES,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,18 - RAFAEL URIBE URIBE,FEMENINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,07 - BOSA,MASCULINO,LESIONES PERSONALES,ATRACO,ARMA BLANCA / CORTOPUNZANTE,1
2020,01,ENE,LUNES,MADRUGADA,11 - SUBA,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,04 - SAN CRISTÓBAL,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,19 - CIUDAD BOLÍVAR,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,18 - RAFAEL URIBE URIBE,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,16 - PUENTE ARANDA,FEMENINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,16 - PUENTE ARANDA,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,13 - TEUSAQUILLO,MASCULINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
2020,01,ENE,LUNES,MADRUGADA,19 - CIUDAD BOLÍVAR,FEMENINO,LESIONES PERSONALES,RIÑAS,CONTUNDENTES,1
