ID,ANIO,MES,TIPO_INCIDENTE,TIPO_DETALLE,COD_LOCALIDAD,LOCALIDAD,COD_UPZ,UPZ,CANT_INCIDENTES
20150101UPZ10904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ10,LA URIBE,22
20150101UPZ10905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ10,LA URIBE,94
20150101UPZ11904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ11,SAN CRISTOBAL NORTE,20
20150101UPZ11905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ11,SAN CRISTOBAL NORTE,64
20150101UPZ12904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ12,TOBERIN,35
20150101UPZ12905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ12,TOBERIN,94
20150101UPZ13904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ13,LOS CEDROS,55
20150101UPZ13905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ13,LOS CEDROS,160
20150101UPZ14904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ14,USAQUEN,24
20150101UPZ14905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ14,USAQUEN,40
20150101UPZ15904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ15,COUNTRY CLUB,18
20150101UPZ15905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ15,COUNTRY CLUB,21
20150101UPZ16904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ16,SANTA BARBARA,45
20150101UPZ16905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ16,SANTA BARBARA,91
20150101UPZ1904,2015,1,904,HURTO EFECTUADO,1,USAQUÉN,UPZ1,PASEO DE LOS LIBERTADORES,6
20150101UPZ1905,2015,1,905,ATRACO / HURTO EN PROCESO,1,USAQUÉN,UPZ1,PASEO DE LOS LIBERTADORES,18
